"Title","Subtitle","Author","Author (Last","Publisher","Date Published","Year Published","Summary","Number of Pages","ISBN","EAN","書封","分類"
"紅盒子","The Red Box","雷克斯．史陶特","Rex Stout","遠流","2002/09/01","2002","","","9789573247012","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=c4gvm9fs45%409789573247012-%E7%B4%85%E7%9B%92%E5%AD%90.jpg","謀殺專門店"
"嚇破膽聯盟","The League of Frightened Men","雷克斯．史陶特","Rex Stout","遠流","2002/01/01","2002","","383","9789573246411","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=RB4eXbNhN3%409789573246411-%E5%9A%87%E7%A0%B4%E8%86%BD%E8%81%AF%E7%9B%9F.jpg","謀殺專門店"
"十八號病房","The Patient in Room 18","曼儂．古德．愛波哈特","Mignon G. Eberhart","遠流","2002/01/01","2002","","","9789573246640","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=Zu2o3IKFY9%409789573246640-%E5%8D%81%E5%85%AB%E8%99%9F%E7%97%85%E6%88%BF.jpg","謀殺專門店"
"艾伯比的終點站","Appleby's End","麥可．伊尼士","Michael Innes","遠流","2002/05/02","2003","","287","9789573246039","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=Q19fTI7NR9%409789573246039-%E8%89%BE%E4%BC%AF%E6%AF%94%E7%9A%84%E7%B5%82%E9%BB%9E%E7%AB%99.jpg","謀殺專門店"
"本店招牌菜","The Specialty of the House and Other Stories","史丹利．艾林","Stanley Ellin","遠流","2002/05/01","2002","","287","9789573246015","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=Vq4b1X1s00%409789573246015-%E6%9C%AC%E5%BA%97%E6%8B%9B%E7%89%8C%E8%8F%9C.jpg","謀殺專門店"
"火氣上升","The Heat's On","卻斯特‧海姆斯","Chester Himes","遠流","2002/01/01","2002","","287","9789573247654","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=c1G1oVJyR1%409789573247654-%E7%81%AB%E6%B0%A3%E4%B8%8A%E5%8D%87.jpg","謀殺專門店"
"M-金色預謀","","葛拉夫頓","葛拉夫頓","小知堂文化","","2007","","377","9789574505432","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=JiYn3IS1CJ%409789574505432-M_%E9%87%91%E8%89%B2%E9%A0%90%E8%AC%80.jpg","字母天后"
"L-法外正義","","葛拉夫頓","葛拉夫頓","小知堂文化","","2007","","380","9789574505272","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=wSizu1iRce%409789574505272-L_%E6%B3%95%E5%A4%96%E6%AD%A3%E7%BE%A9.jpg","字母天后"
"K-情色殺機","","葛拉夫頓","葛拉夫頓","小知堂文化","","2006","","380","9789574505210","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=my0RjfOGED%409789574505210-K_%E6%83%85%E8%89%B2%E6%AE%BA%E6%A9%9F.jpg","字母天后"
"J-變調的審判","","葛拉夫頓","葛拉夫頓","小知堂文化","","2006","","374","9789574504954","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=Vy0INA5aQH%409789574504954-J_%E8%AE%8A%E8%AA%BF%E7%9A%84%E5%AF%A9%E5%88%A4.jpg","字母天后"
